track_id;artist_name;track_name;release_year;genre;sadness;danceability;topic;acousticness;energy
t2240;band of rascals;holler;2017;blues;0.0007209805526044;0.332827899924185;world/life;0.0278102688858121;85.0
t2241;shovels & rope;the air that i breathe;2017;blues;0.0884232172225213;0.3685692624282465;violence;0.5893570174267245;41.0
t2242;gina sicilia;they never pay me;2017;blues;0.0713796009350145;0.4617134192570129;obscene;0.5732927442698237;61.0
t2243;the stooges;till the end of the night;2017;blues;0.042353164508469;0.2559298169609011;world/life;0.41967813220696;41.0
t2244;robin trower;if you believe in me;2017;blues;0.0977850748844255;0.6674970215531246;violence;0.3775094151700955;58.0
t2245;the black angels;medicine;2017;blues;0.3668353709169062;0.4887902090328171;sadness;0.002448797639355;89.0
t2246;j. roddy walston & the business;bad habits;2017;blues;0.1222840779383032;0.5353622874472004;world/life;0.2218867689626194;89.0
t2247;death from above 1979;statues;2017;blues;0.0014619883514483;0.4248889851619192;violence;0.0001094378608813;92.0
t2248;black pistol fire;eastside racket;2017;blues;0.226355986176632;0.1768655908155529;violence;0.0001104418779536;94.0
t2249;alice cooper;paranormal;2017;blues;0.0019493178133839;0.3176648976497346;violence;0.0396576703390264;66.0
t2250;shovels & rope;epic;2017;blues;0.0008488965078601;0.2580959601429655;violence;0.0404608839968714;76.0
t2251;samantha fish;american dream;2017;blues;0.0009930486856239;0.630672587458031;world/life;0.0334327644907274;66.0
t2252;jd mcpherson;desperate love;2017;blues;0.0012239902429497;0.5147839272175891;violence;0.1174689934427645;95.0
t2253;krokus;rockin' in the free world;2017;blues;0.001949317797992;0.5256146431279108;night/time;0.0024086369564628;95.0
t2254;black pistol fire;coattails;2017;blues;0.0007209805828297;0.5418607169933933;violence;0.1475895056119534;70.0
t2255;big yayo;cowgirl (feat. j wonn & t baby);2017;blues;0.6135012634566891;0.9057727715802016;sadness;0.0839348232277341;75.0
t2256;gregg allman;going going gone;2017;blues;0.0341535804223579;0.5461930033575221;feelings;0.0339347730268805;60.0
t2257;radio moscow;new beginning;2017;blues;0.0013850415913891;0.1237950828549767;world/life;0.0093263145846532;95.0
t2258;black pistol fire;speak of the devil;2017;blues;0.4534635517537376;0.4519657749377234;sadness;0.0086737034876541;61.0
t2259;lukas nelson and promise of the real;set me down on a cloud;2017;blues;0.000446030349192;0.2884219646918661;music;0.076103490063745;52.0
t2260;goodbye june;man of the moment;2017;blues;0.0017543860671597;0.3609877612910214;violence;0.0157620640181365;91.0
t2261;vintage trouble;knock me out;2017;blues;0.000993048732637;0.4227228419798549;violence;0.0852400454217323;91.0
t2262;queens of the stone age;un-reborn again;2017;blues;0.0005316321605244;0.3880645510668255;violence;0.0169668845049041;75.0
t2263;larkin poe;john the revelator;2017;blues;0.0007209805805951;0.3284956135600563;music;0.9056223952032082;55.0
t2264;the black angels;currency;2017;blues;0.0013495277679311;0.4183905556157262;world/life;0.0010933745917415;85.0
t2265;dan auerbach;livin' in sin;2017;blues;0.0012239902365957;0.5212823567637821;obscene;0.1736939494919172;81.0
t2266;all them witches;am i going up?;2017;blues;0.0016977928750905;0.5093685692624284;violence;0.0075190838545018;61.0
t2267;the record company;baby i'm broken;2017;blues;0.459148619856129;0.4270551283439835;sadness;0.0001556226462074;82.0
t2268;death from above 1979;nomad;2017;blues;0.0018148821342467;0.2039423805913571;violence;0.0005813258848653;96.0
t2269;queens of the stone age;feet don't fail me;2017;blues;0.0006835270560439;0.4898732806238492;violence;0.018874516942286;81.0
t2270;royal blood;i only lie when i love you;2017;blues;0.001697793087128;0.6371710170042241;violence;0.0011134549331876;89.0
t2271;death from above 1979;freeze me;2017;blues;0.0013495277346416;0.4877071374417849;violence;0.000829318101725;72.0
t2272;cage the elephant;whole wide world;2017;blues;0.122204267585921;0.3718184772013431;world/life;0.3785134322424018;75.0
t2273;greta van fleet;black smoke rising;2017;blues;0.0935263715321278;0.3360771146972816;violence;0.1877501885042053;91.0
t2274;queens of the stone age;fortress;2017;blues;0.4624918483657509;0.4497996317556592;sadness;0.0151596537747527;74.0
t2275;jonny lang;make it move;2017;blues;0.0010121457937999;0.6295895158669989;night/time;0.4618468492438246;47.0
t2276;dan auerbach;stand by my girl;2017;blues;0.0007518797354839;0.5743528647243584;violence;0.0329307559545742;85.0
t2277;royal blood;hole in your heart;2017;blues;0.3111287011729167;0.578685151088487;sadness;0.0045973941740905;81.0
t2278;coco montoya;before the bullets fly;2017;blues;0.0004385965306393;0.5927650817719051;obscene;0.0257018330339689;76.0
t2279;the black angels;comanche moon;2017;blues;0.0018148821268373;0.1162135817177515;violence;4.528116996101402e-05;69.0
t2280;ron gallo;temporary slave;2017;blues;0.0366738706317522;0.5342792158561682;world/life;0.5672686418359858;40.0
t2281;ron gallo;kill the medicine man;2017;blues;0.1904147064170598;0.3772338351565038;violence;0.0556215417886965;82.0
t2282;gov't mule;traveling tune;2017;blues;0.0371682956865776;0.4920394238059136;music;0.3293165956993932;57.0
t2283;the black angels;i'd kill for her;2017;blues;0.1834872339012732;0.3826491931116647;violence;0.0004026108459948;83.0
t2284;gov't mule;sarah, surrender;2017;blues;0.3946391612119815;0.7173183147406045;sadness;0.5391561638114095;72.0
t2285;all them witches;3-5-7;2017;blues;0.0075187970230208;0.326329470377992;romantic;0.0064247052456879;57.0
t2286;sonny rhodes;ballad of serenity;2017;blues;0.0047846892085373;0.4346366294812087;violence;0.841365302575605;33.0
t2287;ron gallo;please yourself;2017;blues;0.3057942398629624;0.3826491931116647;sadness;3.1927742899340265e-05;84.0
t2288;gov't mule;stone cold rage;2017;blues;0.000751879711697;0.2526806021878046;obscene;0.0137540298735239;91.0
t2289;all them witches;bulls;2017;blues;0.1788975765782641;0.1866132351348424;obscene;0.0398584737534877;60.0
t2290;lukas nelson and promise of the real;high times;2017;blues;0.0749294412918578;0.6144265135925485;violence;0.0361436105859544;69.0
t2291;the black angels;grab as much (as you can);2017;blues;0.0016977930419884;0.5581067908588759;world/life;0.0065050266114725;72.0
t2292;tinariwen;tiwàyyen;2017;blues;0.0014619884479802;0.4313874147081122;obscene;0.1465854885396471;62.0
t2293;ty segall;black magick;2017;blues;0.0009074410470132;0.3252463987869599;violence;0.0040150642721528;41.0
t2294;tedeschi trucks band;within you, without you;2017;blues;0.0014224752896885;0.4292212715260479;world/life;0.784136329454146;29.0
t2295;tedeschi trucks band;don’t drift away;2017;blues;0.0009398497514384;0.2006931658182605;world/life;0.1074288227197015;78.0
t2296;tedeschi trucks band;crying over you;2017;blues;0.3475947344882522;0.2905881078739305;sadness;0.3594371078685822;88.0
t2297;larkin poe;black betty;2017;blues;0.0004657661886163;0.5646052204050688;violence;0.3564250566516633;84.0
t2298;black lips;crystal night;2017;blues;0.0009398497257175;0.4985378533521066;night/time;0.3323286469163122;80.0
