track_id;artist_name;track_name;release_date;genre;sadness;danceability;topic;loudness;acousticness;instrumentalness;valence;energy
t3005;novelists;l'appel du vide;2017;jazz;0.2700170177536249;0.3902306942488899;violence;0.7362254185575468;0.0139548332879852;0.0582995951417004;0.179719703215169;0.8808771605279363
t3006;disperse;bubbles;2017;jazz;0.3166675235081158;0.5342792158561682;sadness;0.7350973002076762;0.0058724958559195;0.0161943319838056;0.2518549051937346;0.6346232234680402
t3007;l'indécis;the god behind the pines;2017;jazz;0.0006341154530586;0.6068450124553233;violence;0.6583852524164807;0.7680720562972454;0.931174089068826;0.531121187139324;0.6296180621456846
t3008;diana krall;blue skies;2017;jazz;0.0014224751383021;0.5364453590382325;music;0.4903468963925851;0.8463853879371366;0.1548582995951417;0.4136438582028029;0.2642412856137248
t3009;minthaze;sympathy;2017;jazz;0.0009074410326627;0.6577493772338353;violence;0.6144142758249365;0.3614451420131948;0.8552631578947368;0.2075432811211871;0.3663465765897793
t3010;axian;seasons change;2017;jazz;0.0040485830256537;0.5754359363153905;world/life;0.6792554418890854;0.7861443635987586;0.7935222672064778;0.3178070898598516;0.413395093019922
t3011;nai palm;homebody;2017;jazz;0.0032894739474422;0.3880645510668255;violence;0.4940645591364766;0.9688754707585048;0.0011842105263157;0.0763602638087386;0.0736447424584231
t3012;nai palm;atoll;2017;jazz;0.1247481706718821;0.4627964908480451;obscene;0.6218752403661256;0.9638553853969734;0.0;0.4744435284418796;0.1210936717943543
t3013;anita baker;no one in the world;2017;jazz;0.0407831361688356;0.5776020794974548;world/life;0.7012793887649668;0.5451802662452473;0.0;0.4033388293487221;0.5575437391037638
t3014;thievery corporation;true sons of zion;2017;jazz;0.0010964912667612;0.7389797465612479;violence;0.7255082942337768;0.0228905852315112;0.0053441295546558;0.6207749381698268;0.5905778038313108
t3015;josé james;they can’t take that away from me;2017;jazz;0.3932114845472586;0.5505252897216506;sadness;0.6606414891162218;0.8614456440217311;3.390688259109312e-06;0.2673124484748557;0.2672443824071382
t3016;jamiroquai;automaton;2017;jazz;0.2012054401864392;0.7097368136033794;world/life;0.7351229392610824;0.0253002262050463;0.01082995951417;0.7052761747732892;0.9069039994041854
t3017;sudan archives;come meh way;2017;jazz;0.3696264000332975;0.6729123795082855;sadness;0.7446350280747634;0.0747982678697468;0.0006467611336032;0.7423742786479802;0.8618575475029849
t3018;jamiroquai;cloud 9;2017;jazz;0.3920444398397507;0.8949420556698798;sadness;0.7156628977258159;0.4096379614838971;0.0;0.4208573784006597;0.6876779334850097
t3019;el michels affair;tearz;2017;jazz;0.5401270605001567;0.7075706704213148;sadness;0.6855370099735917;0.0941757973652584;0.0643724696356275;0.6207749381698268;0.4474301900119402
t3020;nick hakim;roller skates;2017;jazz;0.0025062658202407;0.7064875988302828;world/life;0.778452939517473;0.1646577958411604;0.0747975708502024;0.611500412201154;0.6626521268732316
t3021;the electric swing circus;empires;2017;jazz;0.1219417621793224;0.8169609011155637;violence;0.8131682178293976;0.2650595030717902;1.882591093117409e-06;0.8279060181368508;0.7617543210558726
t3022;gabriel garzón-montano;fruitflies;2017;jazz;0.0013495277859626;0.6328387306400952;music;0.5972873881496295;0.0732922422612874;2.0344129554655873e-05;0.1384995877988458;0.2862639954320895
t3023;diana krall;dream;2017;jazz;0.00187969930471;0.4508827033466912;world/life;0.435684434530677;0.851405473298668;0.0021255060728744;0.1652926628194558;0.0950668329181051
t3024;nai palm;crossfire / so into you;2017;jazz;0.4346860240376612;0.4573811328928843;sadness;0.6973309745404199;0.928714787866253;0.0006983805668016;0.3641797197032151;0.3673476088542505
t3025;jon batiste;ohio;2017;jazz;0.0020242915311532;0.3934799090219864;violence;0.5784170448427043;0.9819276926984868;0.0004868421052631;0.1003709810387469;0.2041793497454574
t3026;diana krall;night and day;2017;jazz;0.0018796994020917;0.4638795624390772;night/time;0.4390687895802886;0.8755018830340192;0.0817813765182186;0.2394888705688375;0.1210936717943543
t3027;caravan palace;black betty;2017;jazz;0.0004784689039807;0.8342900465720786;violence;0.8121939337999641;0.1927702738657368;0.0001184210526315;0.8660346248969498;0.9489473545119728
t3028;bluntone;loved ones;2017;jazz;0.0009746589295471;0.811545543160403;violence;0.6066456426428736;0.1636537787688542;0.8906882591093117;0.4589859851607584;0.1811556076626217
t3029;terence blanchard;jackie gets out;2017;jazz;0.0004699248240199;0.3469078306076032;world/life;0.5956977668384482;0.9437750439508474;0.7641700404858299;0.1209810387469084;0.2392154790019467
t3030;magnus lindgren;theme for laura;2017;jazz;0.5167231728599747;0.5104516408534604;sadness;0.5661102992077531;0.9728915390477302;0.9342105263157894;0.1529266281945589;0.2151907046546398
t3031;bill charlap trio;there's a small hotel;2017;jazz;0.0012239903770997;0.5938481533629373;violence;0.3870984283260261;0.8554215415878932;0.8694331983805669;0.1869332234130255;0.1501236074640168
t3032;anita baker;whatever it takes;2017;jazz;0.4235335633055369;0.7043214556482185;sadness;0.6145424710919672;0.4759030882561127;4.190283400809716e-05;0.3950948062654576;0.4163981898133355
t3033;jitwam;whereyougonnago?;2017;jazz;0.3948816582222;0.8126286147514352;sadness;0.6804604773991744;0.3393567664224562;0.0892712550607287;0.4744435284418796;0.8558513539161582
t3034;leaf beach;aqua skies;2017;jazz;0.0021929824796688;0.5418607169933933;obscene;0.5469835653667665;0.8212849611294791;0.8016194331983806;0.0993404781533388;0.3773579314989616
t3035;oofoe;whereucomefrom.;2017;jazz;0.0004422821889978;0.8776129102133652;obscene;0.5353690741737814;0.8112447904064161;0.972672064777328;0.9659934047815332;0.2071824465388708
t3036;thievery corporation;strike the root;2017;jazz;0.0583826376355157;0.7952994692949203;violence;0.6983565366766658;0.1977903592272683;0.0511133603238866;0.9659934047815332;0.5144993517315055
t3037;danny black;high tide;2017;jazz;0.0890910759675603;0.6826600238275752;music;0.740584057636592;0.7208832538988493;0.8107287449392712;0.1302555647155812;0.4184002543422777
t3038;carol welsman;bewitched;2017;jazz;0.0011441649368057;0.4573811328928843;violence;0.5056021331692433;0.9718875219754236;2.0951417004048586e-06;0.3013190436933223;0.1060781878272874
t3039;jordan rakei;hiding place;2017;jazz;0.6003085497925493;0.6317556590490632;sadness;0.7012793887649668;0.466866934605356;0.145748987854251;0.2559769167353669;0.4524353513342958
t3040;jordan rakei;nerve;2017;jazz;0.1613493847838876;0.5581067908588759;world/life;0.686793323590493;0.2740956567225469;5.587044534412958e-05;0.7938994229183842;0.5765633521287151
